address,capacity
ckt1qyqdmeuqrsrnm7e5vnrmruzmsp4m9wacf6vsmcwugu,6215471
ckt1qyqq5jr0hrm0uc8hduqp6cmjmfqmayghyfvsukcysf,2288830
ckt1qyqfhv78ks8xyalzhntde0hjmjrusdyjxyxsw343xc,2174938
ckt1qyqzasa9ldqf3v20fzr42hl93ktxe2evdf3spzteh5,1699170
ckt1qyq2cvlfef5kt043vcsy6rrt7snae2emda9spqvj6s,1223211
ckt1qyqdmswal8qn2psmwc6u5508xh7zkq7wuvustsvyew,860896
ckt1qyqx6xgf8j4r6t0mwwdrdf3y4efm59jl8y8sel5vch,377729
ckt1qyq98fl86kcmqkdv3cf6u8pgf6f99j93q37sq8sr05,65923
ckt1qyqfchkwy2jnncscne75ktysa9ww6dnlk8wqvjtqvc,44768
ckt1qyqwmxws34634ced7l7x7vzgklx22mpmltaq8z0m5x,26662
ckt1qyq8p2wg2t97c8ja8dyhcl23a9gp4nug7qwqaqeuma,19040
ckt1qyqxlzk7suxkdnl6dennf8dc904et3pqfers5fzanz,1507
ckt1qyqv96vz5ssymn3h77unkvg55cdjadeazm9qj2dqk9,965
ckt1qyqt3xk479dmlscp8p945pz4zepr0sq8ef6sansvcc,370
ckt1qyqqeqypyh3mjmwuwsh70sax9mtrnluhv0vscr9c73,340
ckt1qyqv795u9fxpfuf9yav33zhyvgtc0m7g7n2qfja0d5,174
