address,capacity
ckt1q9gry5zgvkprd780vqhlspq8gq5j0engkvwaqj350nxwq8,468919
ckt1q9gry5zgj5qxtpa9zx5gtwr9wuelzcf5skz9upjjrpp3kw,307941
ckt1q9gry5zgrtjfnf34emdw8uv7q8tmln3jscljv20y4skprh,208088
ckt1q9gry5zgulknfcehkfz369kr3nd85z9765g5cdgjvefvdn,171348
ckt1q9gry5zgjs97qlzc46sygk2sd08e73t2xn8tztx669ujhy,156922
ckt1q9gry5zgfg6x29ak0zpfm44kfduhz9l9c0d7guwrmp9dy3,120101
ckt1q9gry5zgxe6hguajz2mdstxuznrg4gj97elpymk4cnz52c,101699
ckt1q9gry5zgqqq6e3ch6epyaeh0mkzwp3d7lw8yf2yulvvjtk,81605
ckt1q9gry5zgdtduqtvkgvj0swlhzhea9hygxg4g4hwvqs4rxg,70555
ckt1q9gry5zggw7l7dmzv3xl62ksknkfyvr7pz5u44tvmwmj60,64599
ckt1q9gry5zg3uqqwsychfg2d8dv38p3yzdnj8x8lf5hwrvr92,44652
ckt1q9gry5zgxjxdk0khy55yfp4jkmd85ltx5dap3awqsxj44z,28840
ckt1q9gry5zg8hnxux5qn2fqvkq73l7zv6k6kex5jw6d5dpwg3,28522
ckt1q9gry5zgz9g969hdlan7zkpnplhe4lp9xz9cu9epf2afwp,21816
ckt1q9gry5zgaxqw54l5g22qtrzfzdcf7n53j9r6aq9p4gedz0,8422
ckt1q9gry5zgxq6u0jxqr6enlpnulmdk4hq4tgs972hyh2zsh7,6304
ckt1q9gry5zg3rfmguaw6v6d9p3c7c2ma4rpftjunucmqevlkt,6149
ckt1q9gry5zgmahervyg6m70fwtfpcf5jdat8k96pzryueq75f,5967
ckt1q9gry5zgmjg3an5ftz5wvwff0dmtmy8f0q9md57h4pn35g,5496
ckt1q9gry5zgcfutwt6c3hxtuyrs0mjtsjrwmxg85wr3hrtcsn,5063
ckt1q9gry5zg5aywzxc99xa9zcpuswf799m8qp2mjfuul35fpw,4839
ckt1q9gry5zg27xvqskvy72jrqztukrharlgdc2ttvjmzusc6z,4410
ckt1q9gry5zgmfjggskmku68u3nar5ya5yl9e5aqau8pgv7hen,4172
ckt1q9gry5zgumakwak3hjlq9g6hd839938dyh8ay5ccmwar8s,3942
ckt1q9gry5zgwdnqqvrdf4ruj4a34lf34sac8vu2mfkndc4uxu,3466
ckt1q9gry5zg3465f25u7wtkxcuksq8ka2nkvkrc0w8020dzax,3227
ckt1q9gry5zgk7f65c4282kkcy5zqlh7cejmrawqatdfh4ewxd,2867
ckt1q9gry5zgjgd3hckyt877cn7htsnxsgrzq3egnqwr6sadp7,2848
ckt1q9gry5zgm7fd8u9wz4v0yfra8ea7ht60jykleyqru6z5c5,2840
ckt1q9gry5zgqtyck4wt9adtqtwcuhqguvmh32hu8vft5xcr9e,2750
ckt1q9gry5zgn5ecepvj24qjyfcq808e9prdkqtsuwxfzz4pym,2432
ckt1q9gry5zg3ceme3gtpzukvf4wq77emz9zmv28cjv8sgvef0,2207
ckt1q9gry5zg97fme45jpsgxmftxwjndcql3t64w7fxvahsql3,1916
ckt1q9gry5zgkj9uk5aksk0puv3dr60qp7rg60ghk4c0dpvk83,1795
ckt1q9gry5zgy24vhvrf35uh3aqtaqzwcmkpttg29arnazlys7,1772
ckt1q9gry5zg4plac7eqe2dp9y2mskfe8qg0krunp0gc3apk3m,1770
ckt1q9gry5zg0kr9sz65rwep64tq8n66du6vj59s6xrxlplyu8,1757
ckt1q9gry5zgchvsjh95xzane9395sfg6qlp77dvmk86j9564w,1712
ckt1q9gry5zg3majfvvzj2rcyddg6jgkhq69525nh08uxu9wg5,1579
ckt1q9gry5zg30thde6pzcl5jzqusck80zenangw055qsjlzxs,1545
ckt1q9gry5zg28tnpawtg9tann0cqs2m8jaaas8tf4vx6tcpgd,1484
ckt1q9gry5zgw232dxswlc46r7pl25xlpusrr56umrc6yxyhkq,1322
ckt1q9gry5zgvq5anym02clxt3dm4p7e9nt683lg4pyjpafwf5,1133
ckt1q9gry5zgzax7z6gkkm8gmq7wcr86txdvp52ekyvts9jeza,1117
ckt1q9gry5zgtw2ahczgxsf330pmzu7hq5lryl96j0z2235asv,961
ckt1q9gry5zghj88xva8akxlycd8frf6jp36ql7dqzwq5xpkhp,925
ckt1q9gry5zglf4wzfps4mh5j80qlhgaem904v2f3atku60c45,857
ckt1q9gry5zgj4sdagwvwq3dct7mclaaafvnkpj9977fguu589,782
ckt1q9gry5zgd886yup3qqpptj4a8ctqhhmne9jrv0auw4y4y8,759
ckt1q9gry5zga3ad8jejqjcvdjf739k76uj47vzvxmh83xmjtp,729
ckt1q9gry5zg2wsx5sdv0t9kj2759nkh0yv9p2s7v2ql7lns6w,710
ckt1q9gry5zgswh5t6pkt5duzj33qa3u648jhhe4cxe23g6k8x,687
ckt1q9gry5zgx72xm83ukkjp28eg2h96l5qspats5u4php2ecd,687
ckt1q9gry5zgvm59tjcmmcvkn2lmuqgfzcgfg3ccnvyk3nej2k,672
ckt1q9gry5zg5a80nvswqa0srd3zuxxllc2qzxlmt3cwytufne,620
ckt1q9gry5zghwtcn72spc9wtz4sq7qgvdyqxv90syxcpgky49,613
ckt1q9gry5zgughh7wzcxzn4u59t0lzl6np4ky60r6ztpw69rl,585
ckt1q9gry5zgzq0j490guyhlj3gfhdp9dldf24zr7ad5g6ul07,576
ckt1q9gry5zg2hgl3caa7gfgytjpgegdx52dserje5kvkvkkqq,555
ckt1q9gry5zgxkwxkq33h5csqyls66p87tqaulghzsqg87g2xe,553
ckt1q9gry5zgnyztg84lcujx8mfzce35520tgrl3xl78lkscz7,515
ckt1q9gry5zgjl7rgssl4aaklh2szhy0rktwuhyls9wz5qqc0v,500
ckt1q9gry5zgq7falzslfj5sylm76znkl8qt9lmn6lasyz6a0j,490
ckt1q9gry5zgv5hkzwvjdqzfdkgjkmylad22hct3lcdf44ug4m,472
ckt1q9gry5zgq8dg47hph9wpzgj5k0s48tg5fvmngv6g7r9zaj,470
ckt1q9gry5zghue08rar3may5mwg9e36k22ez3rkx34j0f72wp,450
ckt1q9gry5zganlczss9cc27rjg3c3d9qd9yafqlzdvry4v9tl,442
NULL,429
ckt1q9gry5zgqvkxrdwjqg0lslnsequzs2mued6w7tw9x8ak2l,419
ckt1q9gry5zgh6epqh97pwmxgdmur80e0dcx476x6lrma0v7ry,389
ckt1q9gry5zghzq3993kagwxlrtrayfngrvpz3y6ysslkd28nn,383
ckt1q9gry5zg2zhtq3h094yf5xv67amwjxl6punhfqn6gw5dhj,378
ckt1q9gry5zgjwkzfllt2sev70v8punm09sn6nthdnzctxvkcw,377
ckt1q9gry5zgjld95nzvsjcyyza09ff702ewkjwh2e4hf5d6lt,343
ckt1q9gry5zgmctz76zahu3n2xt0dun66tgkymfe6nzny33d29,332
ckt1q9gry5zgmhcvcgsrf8kjljxy0333xlsgp7yu4a87hvea4s,318
ckt1q9gry5zg6jj6qard6ehpyspjza0dj6s4xwfdq5uavz8d7m,314
ckt1q9gry5zgu6ltlyee2jek564s64m56p0t7xvpsq2e8cf4j3,311
ckt1q9gry5zgr546kyd8ndcrfjrd2gznk03eakamlm59vkalvv,310
ckt1q9gry5zg7m8xxr357swkvutdp06mvxtjm0k7r58kdg2yar,307
ckt1q9gry5zgcph407k8z9k2xl2vgjv5t57e4g5v0ua7r7tak7,303
ckt1q9gry5zgnajuc5vwmfegp2jxesf46pj7c8dhl7tzy05vke,291
ckt1q9gry5zg0ldc4c8pphamasujfe4ycuj7epr4d2aszx8tp8,290
ckt1q9gry5zgrpfcdg3a5p6lrr7ua09cr9qfj7jwxg0vdn7agg,289
